,pick_up_hexes,count,day_time
895,89f05aa7527ffff,271,Night
485,89f05ab4b33ffff,270,Night
490,89f05ab4babffff,270,Night
489,89f05ab494bffff,270,Night
488,89f05ab4bbbffff,270,Night
487,89f05ab4b23ffff,270,Night
486,89f05ab4bb3ffff,270,Night
484,89f05ab4b2fffff,270,Night
1180,89f05aa4e83ffff,261,Night
1177,89f05aa4117ffff,261,Night
1178,89f05aa412bffff,261,Night
1174,89f05aa413bffff,261,Night
1173,89f05aa4e8fffff,261,Night
1172,89f05aa4e97ffff,261,Night
1171,89f05aa412fffff,261,Night
1179,89f05aa4107ffff,261,Night
1181,89f05aa4e93ffff,261,Night
1175,89f05aa4ebbffff,261,Night
1176,89f05aa4e87ffff,261,Night
1031,89f05ab494fffff,231,Night
1030,89f05869643ffff,231,Night
1032,89f05ab4bb7ffff,231,Night
1033,89f05ab4b27ffff,231,Night
1034,89f05ab4bafffff,231,Night
1029,89f05ab4ba7ffff,231,Night
1028,89f058696dbffff,231,Night
1027,89f05869653ffff,231,Night
1026,89f05ab4ba3ffff,231,Night
1023,89f05ab4943ffff,231,Night
1025,89f05ab4b37ffff,231,Night
1024,89f058696cbffff,231,Night
687,89f05aa6133ffff,223,Night
673,89f05aa61bbffff,223,Night
672,89f05aa65abffff,223,Night
671,89f05aa6533ffff,223,Night
674,89f05aa65bbffff,223,Night
688,89f05869253ffff,223,Night
700,89f058696c3ffff,223,Night
706,89f0586964fffff,223,Night
697,89f05aa65b7ffff,223,Night
699,89f05aa6ccbffff,223,Night
686,89f05869243ffff,223,Night
701,89f05aa61b3ffff,223,Night
